Country,Year,Population Percent,Educational Level,Income,Employment Rate (%),Gini Index(0-100)
Cyprus,2020,38.5,Level 3-4,18068.0,70.9,29.3
Latvia,2020,52.2,Level 3-4,9555.0,73.9,34.5
Lithuania,2020,50.5,Level 3-4,9236.0,69.3,35.1
Luxembourg,2020,31.9,Level 3-4,39786.0,67.6,31.2
Hungary,2020,56.8,Level 3-4,7158.0,77.7,28.0
Malta,2020,34.9,Level 3-4,20569.0,80.8,30.3
Netherlands,2020,39.4,Level 3-4,28306.0,81.9,28.2
Austria,2020,50.0,Level 3-4,29377.0,74.1,27.0
Poland,2020,57.8,Level 3-4,8215.0,68.2,27.2
Portugal,2020,29.8,Level 3-4,12449.0,73.5,31.2
Romania,2020,60.1,Level 3-4,4939.0,66.2,33.8
Slovenia,2020,54.0,Level 3-4,15280.0,70.9,23.5
Slovakia,2020,62.6,Level 3-4,9433.0,75.8,20.9
Finland,2020,44.2,Level 3-4,27143.0,72.4,26.5
Sweden,2020,41.1,Level 3-4,28518.0,80.2,26.9
Norway,2020,37.7,Level 3-4,43653.0,79.2,25.3
Switzerland,2020,44.5,Level 3-4,48258.0,80.0,31.2
North Macedonia,2020,50.3,Level 3-4,3462.0,61.8,31.4
Serbia,2020,57.7,Level 3-4,4176.0,63.3,33.3
Türkiye,2020,21.7,Level 3-4,4702.0,52.0,43.4
Belgium,2021,37.6,Level 3-4,27219.0,67.5,24.1
Bulgaria,2021,53.4,Level 3-4,6482.0,73.4,39.7
Czechia,2021,64.5,Level 3-4,12285.0,80.4,24.8
Denmark,2021,39.7,Level 3-4,36793.0,79.5,27.0
Germany,2021,50.0,Level 3-4,28729.0,80.2,31.2
Estonia,2021,47.3,Level 3-4,13596.0,76.9,30.6
Ireland,2021,36.9,Level 3-4,30774.0,69.5,26.6
Greece,2021,46.4,Level 3-4,9381.0,57.9,32.4
Spain,2021,25.5,Level 3-4,17091.0,63.4,33.0
France,2021,41.6,Level 3-4,24135.0,71.1,29.3
Croatia,2021,60.9,Level 3-4,8840.0,67.3,29.2
Italy,2021,42.9,Level 3-4,20275.0,65.1,32.9
Cyprus,2021,38.0,Level 3-4,17995.0,72.0,29.4
Latvia,2021,51.6,Level 3-4,10353.0,71.0,35.7
Lithuania,2021,49.4,Level 3-4,10519.0,70.3,35.4
Luxembourg,2021,30.4,Level 3-4,44428.0,68.4,29.6
Hungary,2021,55.4,Level 3-4,7345.0,78.7,27.6
Malta,2021,36.4,Level 3-4,21373.0,81.8,31.2
Netherlands,2021,38.9,Level 3-4,29862.0,82.2,26.4
Austria,2021,49.8,Level 3-4,29876.0,75.1,26.7
Poland,2021,57.7,Level 3-4,8449.0,71.2,26.8
Portugal,2021,31.1,Level 3-4,12508.0,74.5,33.0
Romania,2021,62.1,Level 3-4,5456.0,68.3,34.3
Slovenia,2021,51.4,Level 3-4,16077.0,71.5,23.0
Slovakia,2021,62.1,Level 3-4,9091.0,75.4,21.8
Finland,2021,46.3,Level 3-4,26889.0,74.1,25.7
Sweden,2021,40.2,Level 3-4,29706.0,80.2,26.8
Norway,2021,34.7,Level 3-4,39516.0,79.1,25.9
Switzerland,2021,43.3,Level 3-4,50457.0,80.3,31.4
Serbia,2021,56.5,Level 3-4,4420.0,65.3,33.3
Türkiye,2021,22.8,Level 3-4,4145.0,54.8,42.5
Belgium,2022,38.0,Level 3-4,28443.0,68.3,24.9
Bulgaria,2022,54.2,Level 3-4,6871.0,75.9,38.4
Czechia,2022,64.2,Level 3-4,13897.0,81.8,24.8
Denmark,2022,39.2,Level 3-4,37593.0,80.8,27.7
Germany,2022,48.8,Level 3-4,28310.0,81.3,29.0
Estonia,2022,46.5,Level 3-4,16349.0,79.9,31.9
Ireland,2022,36.5,Level 3-4,31858.0,73.8,26.9
Greece,2022,46.8,Level 3-4,10293.0,62.0,31.4
Spain,2022,25.4,Level 3-4,18125.0,65.1,32.0
France,2022,41.8,Level 3-4,24621.0,71.3,29.8
Croatia,2022,61.1,Level 3-4,9781.0,69.3,28.5
Italy,2022,43.1,Level 3-4,21317.0,67.3,32.7
Cyprus,2022,37.6,Level 3-4,18732.0,75.2,29.4
Latvia,2022,50.6,Level 3-4,11041.0,73.1,34.3
Lithuania,2022,47.5,Level 3-4,10991.0,72.8,36.2
Luxembourg,2022,29.8,Level 3-4,44697.0,66.8,29.1
Hungary,2022,55.8,Level 3-4,7649.0,80.0,27.4
Malta,2022,39.1,Level 3-4,22120.0,84.7,31.1
Netherlands,2022,38.2,Level 3-4,30570.0,83.5,26.3
Austria,2022,48.8,Level 3-4,30924.0,77.4,27.8
Poland,2022,57.2,Level 3-4,9148.0,72.7,26.3
Portugal,2022,31.7,Level 3-4,12716.0,77.1,32.0
Romania,2022,62.2,Level 3-4,6037.0,69.1,32.0
Slovenia,2022,51.1,Level 3-4,17120.0,74.2,23.1
Slovakia,2022,61.2,Level 3-4,9406.0,76.9,21.2
Finland,2022,46.0,Level 3-4,27662.0,76.0,26.6
Sweden,2022,39.4,Level 3-4,30790.0,80.8,27.6
Norway,2022,33.9,Level 3-4,44555.0,79.8,27.5
Switzerland,2022,42.4,Level 3-4,49241.0,81.6,31.1
Serbia,2022,56.9,Level 3-4,4923.0,67.3,32.0
Türkiye,2022,24.1,Level 3-4,4465.0,58.3,45.3
Belgium,2023,38.4,Level 3-4,30301.0,68.2,24.2
Bulgaria,2023,54.6,Level 3-4,8066.0,75.8,37.2
Czechia,2023,63.1,Level 3-4,15531.0,82.1,24.4
Denmark,2023,38.9,Level 3-4,37446.0,80.1,28.2
Germany,2023,47.8,Level 3-4,29872.0,81.9,29.4
Estonia,2023,46.5,Level 3-4,16338.0,79.4,31.8
Ireland,2023,36.0,Level 3-4,32723.0,75.5,27.4
Greece,2023,47.8,Level 3-4,11023.0,63.4,31.8
Spain,2023,25.2,Level 3-4,19404.0,66.1,31.5
France,2023,41.3,Level 3-4,25511.0,71.4,29.7
Croatia,2023,60.0,Level 3-4,10835.0,69.1,29.7
Italy,2023,44.1,Level 3-4,23335.0,68.3,31.5
Cyprus,2023,36.3,Level 3-4,20425.0,76.6,29.6
Latvia,2023,50.0,Level 3-4,11809.0,73.6,34.0
Lithuania,2023,47.5,Level 3-4,12215.0,72.0,35.7
Luxembourg,2023,30.6,Level 3-4,49827.0,67.6,30.6
Hungary,2023,56.1,Level 3-4,8225.0,80.1,29.0
Malta,2023,39.7,Level 3-4,24195.0,84.0,33.0
Netherlands,2023,38.0,Level 3-4,32210.0,84.1,26.5
Austria,2023,47.9,Level 3-4,34788.0,77.1,28.1
Poland,2023,54.8,Level 3-4,10437.0,72.9,27.0
Portugal,2023,31.8,Level 3-4,14129.0,78.3,33.7
Romania,2023,61.6,Level 3-4,7114.0,70.1,31.0
Slovenia,2023,53.8,Level 3-4,18747.0,75.2,23.4
Slovakia,2023,61.5,Level 3-4,9560.0,77.4,21.6
Finland,2023,45.8,Level 3-4,28978.0,75.7,26.6
Sweden,2023,38.9,Level 3-4,32200.0,81.3,29.5
Norway,2023,33.9,Level 3-4,45281.0,79.3,24.7
Switzerland,2023,41.3,Level 3-4,54488.0,82.2,31.5
Türkiye,2023,25.1,Level 3-4,4733.0,59.0,44.2
Belgium,2017,35.6,Level 5-8,31820.0,82.2,26.1
Bulgaria,2017,24.5,Level 5-8,8100.0,85.7,40.2
Czechia,2017,21.4,Level 5-8,12492.0,84.2,24.5
Denmark,2017,32.2,Level 5-8,38878.0,85.5,27.6
Germany,2017,24.8,Level 5-8,30979.0,87.1,29.1
Estonia,2017,33.6,Level 5-8,14147.0,86.8,31.6
Ireland,2017,40.4,Level 5-8,34589.0,84.1,30.6
Greece,2017,27.2,Level 5-8,11924.0,70.5,33.4
Spain,2017,33.2,Level 5-8,22329.0,79.4,34.1
France,2017,31.4,Level 5-8,30934.0,83.4,28.8
Croatia,2017,20.7,Level 5-8,10335.0,81.4,29.9
Italy,2017,16.5,Level 5-8,26120.0,78.6,32.7
Cyprus,2017,38.1,Level 5-8,22985.0,79.1,30.8
Latvia,2017,30.0,Level 5-8,11386.0,86.4,34.5
Lithuania,2017,34.8,Level 5-8,11564.0,90.1,37.6
Luxembourg,2017,34.1,Level 5-8,51337.0,83.9,29.2
Hungary,2017,20.9,Level 5-8,7842.0,88.6,28.1
Malta,2017,22.1,Level 5-8,25102.0,90.5,28.2
Netherlands,2017,32.1,Level 5-8,32650.0,87.0,27.1
Austria,2017,29.7,Level 5-8,34467.0,85.1,27.9
Poland,2017,26.3,Level 5-8,9743.0,87.1,29.2
Portugal,2017,21.8,Level 5-8,16682.0,83.5,33.5
Romania,2017,15.3,Level 5-8,5196.0,87.7,33.1
Slovenia,2017,28.7,Level 5-8,17208.0,84.5,23.7
Slovakia,2017,20.7,Level 5-8,9250.0,83.8,23.2
Finland,2017,36.4,Level 5-8,33936.0,84.0,25.3
Sweden,2017,36.0,Level 5-8,32115.0,87.7,28.0
Iceland,2017,35.3,Level 5-8,41331.0,92.9,25.2
Norway,2017,36.8,Level 5-8,49885.0,87.5,26.1
Switzerland,2017,36.8,Level 5-8,65643.0,87.9,30.1
North Macedonia,2017,18.0,Level 5-8,3909.0,73.7,32.4
Serbia,2017,19.8,Level 5-8,4374.0,75.4,37.8
Türkiye,2017,16.6,Level 5-8,10739.0,72.0,43.0
Belgium,2018,36.0,Level 5-8,32448.0,83.5,25.7
Bulgaria,2018,24.8,Level 5-8,8230.0,86.3,39.6
Czechia,2018,21.7,Level 5-8,13429.0,85.6,24.0
Denmark,2018,32.6,Level 5-8,39862.0,86.1,27.8
Germany,2018,25.2,Level 5-8,32485.0,87.5,31.1
Estonia,2018,34.1,Level 5-8,15515.0,86.6,30.6
Ireland,2018,40.5,Level 5-8,35305.0,84.4,28.9
Greece,2018,27.7,Level 5-8,12320.0,72.8,32.3
Spain,2018,34.0,Level 5-8,22886.0,80.1,33.2
France,2018,32.8,Level 5-8,31144.0,83.3,28.5
Croatia,2018,21.9,Level 5-8,10904.0,81.4,29.7
Italy,2018,17.2,Level 5-8,27117.0,79.1,33.4
Cyprus,2018,39.4,Level 5-8,22894.0,80.8,29.1
Latvia,2018,30.1,Level 5-8,13032.0,88.5,35.6
Lithuania,2018,36.1,Level 5-8,12242.0,90.6,36.9
Luxembourg,2018,38.3,Level 5-8,50352.0,83.7,31.3
Hungary,2018,21.8,Level 5-8,8360.0,89.3,28.7
Malta,2018,24.7,Level 5-8,25238.0,89.9,28.7
Netherlands,2018,33.0,Level 5-8,33107.0,87.8,27.4
Austria,2018,30.1,Level 5-8,34051.0,84.9,26.8
Poland,2018,27.2,Level 5-8,10193.0,87.9,27.8
Portugal,2018,22.6,Level 5-8,16399.0,85.6,32.1
Romania,2018,15.5,Level 5-8,7202.0,88.1,35.1
Slovenia,2018,28.7,Level 5-8,17911.0,86.4,23.4
Slovakia,2018,22.0,Level 5-8,9414.0,84.7,20.9
Finland,2018,37.3,Level 5-8,35161.0,86.2,25.9
Sweden,2018,37.1,Level 5-8,32959.0,88.2,27.0
Iceland,2018,36.5,Level 5-8,49559.0,92.2,23.2
Norway,2018,37.5,Level 5-8,49769.0,87.5,24.8
Switzerland,2018,37.7,Level 5-8,61333.0,88.4,29.7
North Macedonia,2018,17.6,Level 5-8,4072.0,74.8,31.9
Serbia,2018,20.4,Level 5-8,4502.0,77.4,35.6
Türkiye,2018,17.3,Level 5-8,9392.0,71.7,43.0
Belgium,2019,36.0,Level 5-8,33190.0,83.8,25.1
Bulgaria,2019,24.7,Level 5-8,10030.0,88.5,40.8
Czechia,2019,21.6,Level 5-8,14905.0,84.9,24.0
Denmark,2019,33.4,Level 5-8,39884.0,87.2,27.5
Germany,2019,26.0,Level 5-8,32907.0,88.0,29.7
Estonia,2019,34.7,Level 5-8,16813.0,87.6,30.5
Ireland,2019,40.7,Level 5-8,34950.0,85.1,28.0
Greece,2019,27.8,Level 5-8,12619.0,74.6,31.0
Spain,2019,35.1,Level 5-8,23035.0,80.3,33.0
France,2019,33.8,Level 5-8,32819.0,83.8,29.2
Croatia,2019,22.1,Level 5-8,11517.0,82.0,29.2
Italy,2019,17.5,Level 5-8,26854.0,79.3,32.8
Cyprus,2019,40.5,Level 5-8,25803.0,83.4,31.1
Latvia,2019,31.4,Level 5-8,14287.0,88.6,35.2
Lithuania,2019,37.9,Level 5-8,13262.0,90.8,35.4
Luxembourg,2019,41.0,Level 5-8,53891.0,84.7,32.3
Hungary,2019,22.5,Level 5-8,9075.0,89.4,28.0
Malta,2019,27.0,Level 5-8,25631.0,86.6,28.0
Netherlands,2019,34.8,Level 5-8,33622.0,87.9,26.8
Austria,2019,31.1,Level 5-8,34302.0,85.2,27.5
Poland,2019,28.6,Level 5-8,11218.0,88.5,28.5
Portugal,2019,23.9,Level 5-8,17066.0,85.6,31.9
Romania,2019,16.0,Level 5-8,8117.0,88.9,34.8
Slovenia,2019,29.3,Level 5-8,19234.0,88.1,23.9
Slovakia,2019,23.1,Level 5-8,10585.0,85.9,22.8
Finland,2019,38.5,Level 5-8,35692.0,86.2,26.2
Sweden,2019,37.8,Level 5-8,32825.0,88.4,27.6
Iceland,2019,37.7,Level 5-8,45079.0,91.6,23.7
Norway,2019,37.7,Level 5-8,50143.0,88.2,25.4
Switzerland,2019,38.6,Level 5-8,58701.0,89.0,30.6
North Macedonia,2019,18.3,Level 5-8,4219.0,77.5,30.7
Serbia,2019,20.6,Level 5-8,5438.0,79.4,33.3
Türkiye,2019,18.4,Level 5-8,7566.0,70.8,41.7
Belgium,2020,37.6,Level 5-8,34903.0,83.3,25.4
Bulgaria,2020,25.8,Level 5-8,10380.0,87.5,40.0
Czechia,2020,22.1,Level 5-8,15926.0,83.9,24.2
Denmark,2020,33.7,Level 5-8,39720.0,87.1,27.3
Germany,2020,27.2,Level 5-8,40036.0,86.6,30.5
Estonia,2020,35.2,Level 5-8,17849.0,85.8,30.5
Ireland,2020,42.8,Level 5-8,36968.0,82.8,27.6
Greece,2020,28.5,Level 5-8,13372.0,71.9,31.4
Spain,2020,36.0,Level 5-8,23466.0,78.2,32.1
France,2020,35.3,Level 5-8,33040.0,83.1,29.2
Croatia,2020,22.3,Level 5-8,12198.0,83.6,28.3
Italy,2020,17.8,Level 5-8,27875.0,77.9,32.5
Cyprus,2020,41.0,Level 5-8,25134.0,83.4,29.3
Latvia,2020,33.2,Level 5-8,14994.0,85.7,34.5
Lithuania,2020,38.7,Level 5-8,15089.0,89.5,35.1
Luxembourg,2020,40.9,Level 5-8,56451.0,83.2,31.2
Hungary,2020,23.6,Level 5-8,10144.0,89.7,28.0
Malta,2020,28.2,Level 5-8,28830.0,87.5,30.3
Netherlands,2020,36.6,Level 5-8,35830.0,87.7,28.2
Austria,2020,31.3,Level 5-8,35927.0,84.5,27.0
Poland,2020,29.3,Level 5-8,12244.0,88.4,27.2
Portugal,2020,24.8,Level 5-8,17931.0,84.2,31.2
Romania,2020,16.2,Level 5-8,8632.0,88.6,33.8
Slovenia,2020,31.5,Level 5-8,19931.0,87.8,23.5
Slovakia,2020,23.9,Level 5-8,10910.0,85.6,20.9
Finland,2020,39.8,Level 5-8,36719.0,86.4,26.5
Sweden,2020,38.3,Level 5-8,32536.0,87.6,26.9
Norway,2020,38.8,Level 5-8,50553.0,87.9,25.3
Switzerland,2020,39.3,Level 5-8,62195.0,88.5,31.2
North Macedonia,2020,20.0,Level 5-8,4556.0,78.1,31.4
Serbia,2020,21.0,Level 5-8,6355.0,78.8,33.3
Türkiye,2020,19.7,Level 5-8,8047.0,68.0,43.4
Belgium,2021,39.7,Level 5-8,34518.0,84.1,24.1
Bulgaria,2021,26.1,Level 5-8,11533.0,88.6,39.7
Czechia,2021,23.4,Level 5-8,16182.0,84.8,24.8
Denmark,2021,34.8,Level 5-8,40856.0,87.3,27.0
Germany,2021,28.0,Level 5-8,39748.0,87.9,31.2
Estonia,2021,36.0,Level 5-8,18257.0,87.1,30.6
Ireland,2021,45.4,Level 5-8,39877.0,84.9,26.6
Greece,2021,30.1,Level 5-8,13336.0,75.2,32.4
Spain,2021,36.2,Level 5-8,23312.0,79.6,33.0
France,2021,36.3,Level 5-8,34390.0,84.3,29.3
Croatia,2021,22.3,Level 5-8,12755.0,84.7,29.2
Italy,2021,17.8,Level 5-8,27991.0,79.2,32.9
Cyprus,2021,42.8,Level 5-8,25101.0,83.8,29.4
Latvia,2021,34.2,Level 5-8,15964.0,85.7,35.7
Lithuania,2021,39.8,Level 5-8,16623.0,89.3,35.4
Luxembourg,2021,44.5,Level 5-8,57559.0,84.1,29.6
Hungary,2021,25.5,Level 5-8,10200.0,89.9,27.6
Malta,2021,29.6,Level 5-8,30388.0,88.3,31.2
Netherlands,2021,37.5,Level 5-8,36658.0,88.4,26.4
Austria,2021,31.8,Level 5-8,35797.0,84.9,26.7
Poland,2021,29.4,Level 5-8,12308.0,90.0,26.8
Portugal,2021,26.2,Level 5-8,18408.0,85.8,33.0
Romania,2021,16.4,Level 5-8,9697.0,88.4,34.3
Slovenia,2021,35.4,Level 5-8,20047.0,88.5,23.0
Slovakia,2021,24.7,Level 5-8,10627.0,85.4,21.8
Finland,2021,35.5,Level 5-8,36090.0,87.3,25.7
Sweden,2021,39.6,Level 5-8,33731.0,88.2,26.8
Norway,2021,40.6,Level 5-8,45191.0,88.3,25.9
Switzerland,2021,39.2,Level 5-8,66754.0,88.7,31.4
Serbia,2021,22.0,Level 5-8,7146.0,81.4,33.3
Türkiye,2021,20.4,Level 5-8,6768.0,69.6,42.5
Belgium,2022,40.2,Level 5-8,36330.0,85.1,24.9
Bulgaria,2022,26.3,Level 5-8,11223.0,89.8,38.4
Czechia,2022,23.5,Level 5-8,18394.0,86.2,24.8
Denmark,2022,35.0,Level 5-8,42937.0,88.2,27.7
Germany,2022,27.9,Level 5-8,38574.0,88.7,29.0
Estonia,2022,36.7,Level 5-8,21688.0,88.2,31.9
Ireland,2022,46.1,Level 5-8,41042.0,87.1,26.9
Greece,2022,30.5,Level 5-8,14502.0,78.5,31.4
Spain,2022,36.5,Level 5-8,24692.0,81.2,32.0
France,2022,36.9,Level 5-8,34896.0,84.8,29.8
Croatia,2022,22.8,Level 5-8,13719.0,85.1,28.5
Italy,2022,18.1,Level 5-8,29133.0,80.6,32.7
Cyprus,2022,44.0,Level 5-8,25744.0,85.1,29.4
Latvia,2022,34.5,Level 5-8,17123.0,86.6,34.3
Lithuania,2022,41.3,Level 5-8,17880.0,89.7,36.2
Luxembourg,2022,46.0,Level 5-8,59672.0,85.1,29.1
Hungary,2022,25.6,Level 5-8,10420.0,91.4,27.4
Malta,2022,29.4,Level 5-8,32688.0,89.4,31.1
Netherlands,2022,38.8,Level 5-8,37750.0,89.1,26.3
Austria,2022,32.5,Level 5-8,36382.0,85.9,27.8
Poland,2022,30.0,Level 5-8,13265.0,90.4,26.3
Portugal,2022,26.8,Level 5-8,17912.0,87.2,32.0
Romania,2022,17.1,Level 5-8,10256.0,89.5,32.0
Slovenia,2022,35.1,Level 5-8,21588.0,89.6,23.1
Slovakia,2022,26.0,Level 5-8,10888.0,86.9,21.2
Finland,2022,35.9,Level 5-8,37601.0,88.1,26.6
Sweden,2022,41.1,Level 5-8,34993.0,89.5,27.6
Norway,2022,41.1,Level 5-8,50501.0,88.9,27.5
Switzerland,2022,39.0,Level 5-8,67348.0,88.7,31.1
Serbia,2022,22.6,Level 5-8,7662.0,84.4,32.0
Türkiye,2022,21.0,Level 5-8,7084.0,71.2,45.3
Belgium,2023,39.1,Level 5-8,38288.0,85.8,24.2
Bulgaria,2023,26.7,Level 5-8,13797.0,90.2,37.2
Czechia,2023,23.5,Level 5-8,20363.0,86.5,24.4
Denmark,2023,35.5,Level 5-8,43775.0,88.4,28.2
Germany,2023,29.0,Level 5-8,40956.0,88.3,29.4
Estonia,2023,36.0,Level 5-8,22116.0,89.7,31.8
Ireland,2023,46.6,Level 5-8,43229.0,87.4,27.4
Greece,2023,29.9,Level 5-8,15592.0,79.1,31.8
Spain,2023,37.1,Level 5-8,26593.0,82.0,31.5
France,2023,37.6,Level 5-8,36479.0,85.1,29.7
Croatia,2023,24.9,Level 5-8,15731.0,86.5,29.7
Italy,2023,19.2,Level 5-8,29982.0,81.6,31.5
Cyprus,2023,46.0,Level 5-8,27368.0,85.4,29.6
Latvia,2023,34.0,Level 5-8,18414.0,87.5,34.0
Lithuania,2023,41.0,Level 5-8,19460.0,89.4,35.7
Luxembourg,2023,45.7,Level 5-8,67143.0,84.5,30.6
Hungary,2023,25.8,Level 5-8,12071.0,91.4,29.0
Malta,2023,30.8,Level 5-8,33485.0,89.8,33.0
Netherlands,2023,38.4,Level 5-8,39121.0,89.5,26.5
Austria,2023,33.6,Level 5-8,42283.0,85.8,28.1
Poland,2023,33.2,Level 5-8,14548.0,90.7,27.0
Portugal,2023,27.1,Level 5-8,20310.0,87.6,33.7
Romania,2023,16.1,Level 5-8,11844.0,89.8,31.0
Slovenia,2023,29.8,Level 5-8,23542.0,89.8,23.4
Slovakia,2023,25.8,Level 5-8,10722.0,87.9,21.6
Finland,2023,35.7,Level 5-8,38662.0,88.2,26.6
Sweden,2023,41.9,Level 5-8,35269.0,89.5,29.5
Norway,2023,41.9,Level 5-8,51556.0,88.2,24.7
Switzerland,2023,40.2,Level 5-8,72129.0,89.0,31.5
Türkiye,2023,21.8,Level 5-8,7418.0,72.8,44.2
