Country,Year,Employment Rate (%),Education Level
Belgium,2023,46.8,Level 0-2
Bulgaria,2023,50.2,Level 0-2
Czechia,2023,57.8,Level 0-2
Denmark,2023,61.7,Level 0-2
Germany,2023,66.1,Level 0-2
Estonia,2023,67.6,Level 0-2
Ireland,2023,54.4,Level 0-2
Greece,2023,57,Level 0-2
Spain,2023,60.5,Level 0-2
France,2023,53.8,Level 0-2
Croatia,2023,39.3,Level 0-2
Italy,2023,53.6,Level 0-2
Cyprus,2023,66.5,Level 0-2
Latvia,2023,60.3,Level 0-2
Lithuania,2023,50.2,Level 0-2
Luxembourg,2023,62,Level 0-2
Hungary,2023,60.1,Level 0-2
Malta,2023,68.8,Level 0-2
Netherlands,2023,69.7,Level 0-2
Austria,2023,55.6,Level 0-2
Poland,2023,48.8,Level 0-2
Portugal,2023,70.5,Level 0-2
Romania,2023,45.3,Level 0-2
Slovenia,2023,53.7,Level 0-2
Slovakia,2023,33.5,Level 0-2
Finland,2023,55,Level 0-2
Sweden,2023,61.8,Level 0-2
Iceland,2023,75.8,Level 0-2
Norway,2023,60.9,Level 0-2
Switzerland,2023,67.5,Level 0-2
Bosnia and Herzegovina,2023,24.7,Level 0-2
Montenegro,2023,:,Level 0-2
North Macedonia,2023,:,Level 0-2
Serbia,2023,50.5,Level 0-2
Türkiye,2023,48.9,Level 0-2
Belgium,2022,46.2,Level 0-2
Bulgaria,2022,50.2,Level 0-2
Czechia,2022,55.1,Level 0-2
Denmark,2022,62.4,Level 0-2
Germany,2022,65.1,Level 0-2
Estonia,2022,67.3,Level 0-2
Ireland,2022,53.9,Level 0-2
Greece,2022,55.5,Level 0-2
Spain,2022,58.9,Level 0-2
France,2022,53.5,Level 0-2
Croatia,2022,41.3,Level 0-2
Italy,2022,52.8,Level 0-2
Cyprus,2022,66.8,Level 0-2
Latvia,2022,58.7,Level 0-2
Lithuania,2022,49,Level 0-2
Luxembourg,2022,61.1,Level 0-2
Hungary,2022,58,Level 0-2
Malta,2022,66,Level 0-2
Netherlands,2022,68.1,Level 0-2
Austria,2022,55.6,Level 0-2
Poland,2022,47.2,Level 0-2
Portugal,2022,69.7,Level 0-2
Romania,2022,44.9,Level 0-2
Slovenia,2022,50,Level 0-2
Slovakia,2022,31.3,Level 0-2
Finland,2022,55,Level 0-2
Sweden,2022,59.9,Level 0-2
Iceland,2022,73.3,Level 0-2
Norway,2022,63,Level 0-2
Switzerland,2022,66.4,Level 0-2
Bosnia and Herzegovina,2022,23.8,Level 0-2
Montenegro,2022,:,Level 0-2
North Macedonia,2022,:,Level 0-2
Serbia,2022,50.1,Level 0-2
Türkiye,2022,49.1,Level 0-2
Belgium,2021,44.7,Level 0-2
Bulgaria,2021,46.2,Level 0-2
Czechia,2021,53.7,Level 0-2
Denmark,2021,61.3,Level 0-2
Germany,2021,61.8,Level 0-2
Estonia,2021,62.7,Level 0-2
Ireland,2021,51.4,Level 0-2
Greece,2021,52.5,Level 0-2
Spain,2021,56.9,Level 0-2
France,2021,51.8,Level 0-2
Croatia,2021,42.3,Level 0-2
Italy,2021,50.8,Level 0-2
Cyprus,2021,64.8,Level 0-2
Latvia,2021,56.7,Level 0-2
Lithuania,2021,51.5,Level 0-2
Luxembourg,2021,59.6,Level 0-2
Hungary,2021,57.7,Level 0-2
Malta,2021,64.5,Level 0-2
Netherlands,2021,66.7,Level 0-2
Austria,2021,55,Level 0-2
Poland,2021,46.9,Level 0-2
Portugal,2021,68.8,Level 0-2
Romania,2021,42.5,Level 0-2
Slovenia,2021,49.5,Level 0-2
Slovakia,2021,26.9,Level 0-2
Finland,2021,53.2,Level 0-2
Sweden,2021,56.5,Level 0-2
Iceland,2021,69,Level 0-2
Norway,2021,61.6,Level 0-2
Switzerland,2021,66.5,Level 0-2
Bosnia and Herzegovina,2021,24.4,Level 0-2
Montenegro,2021,:,Level 0-2
North Macedonia,2021,:,Level 0-2
Serbia,2021,47.6,Level 0-2
Türkiye,2021,47,Level 0-2
Belgium,2020,44.3,Level 0-2
Bulgaria,2020,47,Level 0-2
Czechia,2020,54.7,Level 0-2
Denmark,2020,59,Level 0-2
Germany,2020,60,Level 0-2
Estonia,2020,61.4,Level 0-2
Ireland,2020,49.9,Level 0-2
Greece,2020,49.1,Level 0-2
Spain,2020,55.4,Level 0-2
France,2020,53.4,Level 0-2
Croatia,2020,38.2,Level 0-2
Italy,2020,50.5,Level 0-2
Cyprus,2020,63.9,Level 0-2
Latvia,2020,58.7,Level 0-2
Lithuania,2020,48.2,Level 0-2
Luxembourg,2020,56.9,Level 0-2
Hungary,2020,55.6,Level 0-2
Malta,2020,63,Level 0-2
Netherlands,2020,65.3,Level 0-2
Austria,2020,54.4,Level 0-2
Poland,2020,42.6,Level 0-2
Portugal,2020,67.5,Level 0-2
Romania,2020,40.5,Level 0-2
Slovenia,2020,47.1,Level 0-2
Slovakia,2020,25.8,Level 0-2
Finland,2020,54.8,Level 0-2
Sweden,2020,56.9,Level 0-2
Iceland,2020,72.2,Level 0-2
Norway,2020,60.8,Level 0-2
Switzerland,2020,70.1,Level 0-2
Bosnia and Herzegovina,2020,:,Level 0-2
Montenegro,2020,30.1,Level 0-2
North Macedonia,2020,37.1,Level 0-2
Serbia,2020,49,Level 0-2
Türkiye,2020,44,Level 0-2
Belgium,2019,45.3,Level 0-2
Bulgaria,2019,50,Level 0-2
Czechia,2019,53.4,Level 0-2
Denmark,2019,59.5,Level 0-2
Germany,2019,60.6,Level 0-2
Estonia,2019,63.3,Level 0-2
Ireland,2019,52.3,Level 0-2
Greece,2019,51.7,Level 0-2
Spain,2019,57.8,Level 0-2
France,2019,52.6,Level 0-2
Croatia,2019,38.9,Level 0-2
Italy,2019,52.3,Level 0-2
Cyprus,2019,64,Level 0-2
Latvia,2019,56.3,Level 0-2
Lithuania,2019,47.9,Level 0-2
Luxembourg,2019,57.6,Level 0-2
Hungary,2019,56.5,Level 0-2
Malta,2019,63.6,Level 0-2
Netherlands,2019,65.4,Level 0-2
Austria,2019,56.8,Level 0-2
Poland,2019,43.2,Level 0-2
Portugal,2019,68.3,Level 0-2
Romania,2019,41.6,Level 0-2
Slovenia,2019,50.3,Level 0-2
Slovakia,2019,27.5,Level 0-2
Finland,2019,55,Level 0-2
Sweden,2019,60.8,Level 0-2
Iceland,2019,76.6,Level 0-2
Norway,2019,61.5,Level 0-2
Switzerland,2019,69.7,Level 0-2
Bosnia and Herzegovina,2019,:,Level 0-2
Montenegro,2019,36.4,Level 0-2
North Macedonia,2019,38.3,Level 0-2
Serbia,2019,50,Level 0-2
Türkiye,2019,47.2,Level 0-2
Belgium,2018,44.6,Level 0-2
Bulgaria,2018,45.4,Level 0-2
Czechia,2018,50.9,Level 0-2
Denmark,2018,59.4,Level 0-2
Germany,2018,59.5,Level 0-2
Estonia,2018,65.5,Level 0-2
Ireland,2018,51.4,Level 0-2
Greece,2018,51.4,Level 0-2
Spain,2018,56.6,Level 0-2
France,2018,53,Level 0-2
Croatia,2018,36.7,Level 0-2
Italy,2018,52,Level 0-2
Cyprus,2018,61.6,Level 0-2
Latvia,2018,54.4,Level 0-2
Lithuania,2018,46.9,Level 0-2
Luxembourg,2018,58.9,Level 0-2
Hungary,2018,56.8,Level 0-2
Malta,2018,61,Level 0-2
Netherlands,2018,64.8,Level 0-2
Austria,2018,56.7,Level 0-2
Poland,2018,40.4,Level 0-2
Portugal,2018,68.1,Level 0-2
Romania,2018,40.2,Level 0-2
Slovenia,2018,50.8,Level 0-2
Slovakia,2018,27.8,Level 0-2
Finland,2018,55.7,Level 0-2
Sweden,2018,62,Level 0-2
Iceland,2018,77,Level 0-2
Norway,2018,61.2,Level 0-2
Switzerland,2018,69.2,Level 0-2
Bosnia and Herzegovina,2018,:,Level 0-2
Montenegro,2018,39.5,Level 0-2
North Macedonia,2018,36.3,Level 0-2
Serbia,2018,47.5,Level 0-2
Türkiye,2018,49.5,Level 0-2
Belgium,2017,44.9,Level 0-2
Bulgaria,2017,43.6,Level 0-2
Czechia,2017,49.2,Level 0-2
Denmark,2017,59.4,Level 0-2
Germany,2017,58.5,Level 0-2
Estonia,2017,65.6,Level 0-2
Ireland,2017,50.5,Level 0-2
Greece,2017,50.6,Level 0-2
Spain,2017,54.6,Level 0-2
France,2017,52.7,Level 0-2
Croatia,2017,34.3,Level 0-2
Italy,2017,51.2,Level 0-2
Cyprus,2017,57,Level 0-2
Latvia,2017,53.7,Level 0-2
Lithuania,2017,44.1,Level 0-2
Luxembourg,2017,56.4,Level 0-2
Hungary,2017,54.7,Level 0-2
Malta,2017,58.7,Level 0-2
Netherlands,2017,63.4,Level 0-2
Austria,2017,55,Level 0-2
Poland,2017,38.4,Level 0-2
Portugal,2017,65.9,Level 0-2
Romania,2017,39.8,Level 0-2
Slovenia,2017,49.4,Level 0-2
Slovakia,2017,28.6,Level 0-2
Finland,2017,53.6,Level 0-2
Sweden,2017,61.5,Level 0-2
Iceland,2017,77.9,Level 0-2
Norway,2017,60.8,Level 0-2
Switzerland,2017,67.7,Level 0-2
Bosnia and Herzegovina,2017,:,Level 0-2
Montenegro,2017,38.2,Level 0-2
North Macedonia,2017,34.9,Level 0-2
Serbia,2017,47.3,Level 0-2
Türkiye,2017,49.3,Level 0-2
Belgium,2023,68.2,Level 3-4
Bulgaria,2023,75.8,Level 3-4
Czechia,2023,82.1,Level 3-4
Denmark,2023,80.1,Level 3-4
Germany,2023,81.9,Level 3-4
Estonia,2023,79.4,Level 3-4
Ireland,2023,75.5,Level 3-4
Greece,2023,63.4,Level 3-4
Spain,2023,66.1,Level 3-4
France,2023,71.4,Level 3-4
Croatia,2023,69.1,Level 3-4
Italy,2023,68.3,Level 3-4
Cyprus,2023,76.6,Level 3-4
Latvia,2023,73.6,Level 3-4
Lithuania,2023,72,Level 3-4
Luxembourg,2023,67.6,Level 3-4
Hungary,2023,80.1,Level 3-4
Malta,2023,84,Level 3-4
Netherlands,2023,84.1,Level 3-4
Austria,2023,77.1,Level 3-4
Poland,2023,72.9,Level 3-4
Portugal,2023,78.3,Level 3-4
Romania,2023,70.1,Level 3-4
Slovenia,2023,75.2,Level 3-4
Slovakia,2023,77.4,Level 3-4
Finland,2023,75.7,Level 3-4
Sweden,2023,81.3,Level 3-4
Iceland,2023,84.4,Level 3-4
Norway,2023,79.3,Level 3-4
Switzerland,2023,82.2,Level 3-4
Bosnia and Herzegovina,2023,58.6,Level 3-4
Montenegro,2023,:,Level 3-4
North Macedonia,2023,:,Level 3-4
Serbia,2023,68.1,Level 3-4
Türkiye,2023,59,Level 3-4
Belgium,2022,68.3,Level 3-4
Bulgaria,2022,75.9,Level 3-4
Czechia,2022,81.8,Level 3-4
Denmark,2022,80.8,Level 3-4
Germany,2022,81.3,Level 3-4
Estonia,2022,79.9,Level 3-4
Ireland,2022,73.8,Level 3-4
Greece,2022,62,Level 3-4
Spain,2022,65.1,Level 3-4
France,2022,71.3,Level 3-4
Croatia,2022,69.3,Level 3-4
Italy,2022,67.3,Level 3-4
Cyprus,2022,75.2,Level 3-4
Latvia,2022,73.1,Level 3-4
Lithuania,2022,72.8,Level 3-4
Luxembourg,2022,66.8,Level 3-4
Hungary,2022,80,Level 3-4
Malta,2022,84.7,Level 3-4
Netherlands,2022,83.5,Level 3-4
Austria,2022,77.4,Level 3-4
Poland,2022,72.7,Level 3-4
Portugal,2022,77.1,Level 3-4
Romania,2022,69.1,Level 3-4
Slovenia,2022,74.2,Level 3-4
Slovakia,2022,76.9,Level 3-4
Finland,2022,76,Level 3-4
Sweden,2022,80.8,Level 3-4
Iceland,2022,83.9,Level 3-4
Norway,2022,79.8,Level 3-4
Switzerland,2022,81.6,Level 3-4
Bosnia and Herzegovina,2022,56.6,Level 3-4
Montenegro,2022,:,Level 3-4
North Macedonia,2022,:,Level 3-4
Serbia,2022,67.3,Level 3-4
Türkiye,2022,58.3,Level 3-4
Belgium,2021,67.5,Level 3-4
Bulgaria,2021,73.4,Level 3-4
Czechia,2021,80.4,Level 3-4
Denmark,2021,79.5,Level 3-4
Germany,2021,80.2,Level 3-4
Estonia,2021,76.9,Level 3-4
Ireland,2021,69.5,Level 3-4
Greece,2021,57.9,Level 3-4
Spain,2021,63.4,Level 3-4
France,2021,71.1,Level 3-4
Croatia,2021,67.3,Level 3-4
Italy,2021,65.1,Level 3-4
Cyprus,2021,72,Level 3-4
Latvia,2021,71,Level 3-4
Lithuania,2021,70.3,Level 3-4
Luxembourg,2021,68.4,Level 3-4
Hungary,2021,78.7,Level 3-4
Malta,2021,81.8,Level 3-4
Netherlands,2021,82.2,Level 3-4
Austria,2021,75.1,Level 3-4
Poland,2021,71.2,Level 3-4
Portugal,2021,74.5,Level 3-4
Romania,2021,68.3,Level 3-4
Slovenia,2021,71.5,Level 3-4
Slovakia,2021,75.4,Level 3-4
Finland,2021,74.1,Level 3-4
Sweden,2021,80.2,Level 3-4
Iceland,2021,80.4,Level 3-4
Norway,2021,79.1,Level 3-4
Switzerland,2021,80.3,Level 3-4
Bosnia and Herzegovina,2021,55.2,Level 3-4
Montenegro,2021,:,Level 3-4
North Macedonia,2021,:,Level 3-4
Serbia,2021,65.3,Level 3-4
Türkiye,2021,54.8,Level 3-4
Belgium,2020,66.6,Level 3-4
Bulgaria,2020,72.7,Level 3-4
Czechia,2020,80.6,Level 3-4
Denmark,2020,78.8,Level 3-4
Germany,2020,79.2,Level 3-4
Estonia,2020,77.9,Level 3-4
Ireland,2020,66.9,Level 3-4
Greece,2020,53.5,Level 3-4
Spain,2020,61.6,Level 3-4
France,2020,69.6,Level 3-4
Croatia,2020,66.1,Level 3-4
Italy,2020,64.4,Level 3-4
Cyprus,2020,70.9,Level 3-4
Latvia,2020,73.9,Level 3-4
Lithuania,2020,69.3,Level 3-4
Luxembourg,2020,67.6,Level 3-4
Hungary,2020,77.7,Level 3-4
Malta,2020,80.8,Level 3-4
